industry1,quarter,resignation_rate
total,2020-Q3,1.775
total,2020-Q4,1.675
total,2021-Q1,1.8250000000000002
total,2021-Q2,1.9500000000000002
total,2021-Q3,1.825
total,2021-Q4,1.75
total,2022-Q1,1.85
total,2022-Q2,1.975
total,2022-Q3,1.875
total,2022-Q4,1.55
total,2023-Q1,1.6
